Categoría,Imagen,Código,Nombre,Rango de Cantidad 1,Precio 1,Rango de Cantidad 2,Precio 2,Rango de Cantidad 3,Precio 3
Herramientas,https://www.herramientasyconexiones.com/productos/m/1736793917-137.jpg,33599,Desarmador juego con extension y puntas  , 1 a 5,$52.30, 6  a 11,$49.20, 12 o más,$46.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1736794004-48.jpg,33600,Desarmador juego con extension y puntas intercambiables , 1 a 5,$41.60, 6  a 11,$39.10, 12 o más,$37.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1671481264-34.jpg,JL1038,Desarmador puntas intercambiales 27 pzas , 1 a 11,$45.50, 12 o más,$43.30,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1750889503-70.jpg,F0097,Desarmador relojero SET 30 puntas , 1 a 11,$29.00, 12  a 23,$27.30, 24 o más,$25.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1747069420-139.jpg,1229,Desarmador T juego con 24 pzas , 1 a 11,$32.90, 12  a 23,$30.90, 24 o más,$29.40
Herramientas,https://www.herramientasyconexiones.com/productos/m/1728578067-130.jpg,DESA1072,Desarmador tipo matraca con 22 puntas , 1 a 5,$51.50, 6  a 11,$48.40, 12 o más,$46.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1573327472-71.jpg,30736,Desarmador tipo navaja 8 pzas , 1 a 5,$56.30, 6  a 11,$52.90, 12 o más,$49.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1769528251-31.jpg,9922,Desarmador trompo 2 pzas blister , 1 a 23,$18.60, 24  a 47,$17.50, 48 o más,$16.70
Herramientas,https://www.herramientasyconexiones.com/productos/m/1760026664-99.jpg,DESA1240,desarmador trompo doble punta 1/4 x 1 1/2 pulg ,1 ó más,$7.70,,,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1750719703-102.jpg,DESA1006,Desarmadores CON MANGO DE ACETATO 5 pzas juego , 1 a 11,$51.70, 12  a 23,$48.60, 24 o más,$46.30
Herramientas,https://www.herramientasyconexiones.com/productos/m/1704312970-12.jpg,30192,Desarmadores de golpe juego de 6 pzas  , 1 a 5,$93.30, 6  a 11,$87.70, 12 o más,$83.50
Herramientas,https://www.herramientasyconexiones.com/productos/m/1776189425-7.jpg,DESA1272,Desarmadores de golpe juego IMANTADOS jgo 6 pzas , 1 a 11,$67.50, 12  a 23,$63.40, 24 o más,$60.40
Herramientas,https://www.herramientasyconexiones.com/productos/m/1718293380-18.jpg,DESA1014,Desarmadores juego 4 PZAS con soporte , 1 a 11,$38.90, 12  a 23,$36.70, 24 o más,$35.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1612395287-137.jpg,30059,Desarmadores juego 6 pzas RACK , 1 a 11,$77.70, 12  a 23,$73.10, 24 o más,$69.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1734195614-126.jpg,F0069,Desarmadores juego 6 pzas set , 1 a 5,$78.80, 6  a 11,$74.10, 12 o más,$70.50
Herramientas,https://www.herramientasyconexiones.com/productos/m/1718293182-81.jpg,DESA1271,Desarmadores juego CRUZ Y PLANO CON SOPORTE , 1 a 5,$61.50, 6  a 11,$57.80, 12 o más,$55.00
Herramientas,https://www.herramientasyconexiones.com/productos/m/1737139944-98.jpg,DESA1077,desarmadores reforzados juego de 6 pzas ANTIDERRAPANTE , 1 a 5,$42.30, 6  a 11,$39.80, 12 o más,$37.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1768943017-147.jpg,30632,Engrapadora para tapicero 4-8 mm , 1 a 5,$101.80, 6  a 11,$95.80, 12 o más,$91.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1778599748-55.jpg,4202,Engrapadora tapicero 3 en 1  , 1 a 5,$90.60, 6  a 11,$85.20, 12 o más,$81.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1750718330-2.jpg,ESCU1000,Escuadra cantero 16px24p , 1 a 11,$55.20, 12  a 23,$51.90, 24 o más,$49.40
Herramientas,https://www.herramientasyconexiones.com/productos/m/1747066120-102.jpg,ESCU1010,Escuadra cantero 8px12p , 1 a 11,$26.50, 12  a 23,$24.90, 24 o más,$23.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1769124217-123.jpg,CANT1,Escuadra cantonero 1 pulg , 1 a 23,$0.80, 24  a 47,$0.70, 48 o más,$0.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1769124217-123.jpg,CANT1,Escuadra cantonero 1 pulg , 1 a 23,$0.80, 24  a 47,$0.70, 48 o más,$0.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1769124217-123.jpg,CANT2,Escuadra cantonero 2 pulg , 1 a 23,$1.40, 24  a 47,$1.30, 48 o más,$1.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1769124217-123.jpg,CANT3,Escuadra cantonero 3 pulg , 1 a 23,$2.90, 24  a 47,$2.70, 48 o más,$2.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1769124217-123.jpg,CANT4,Escuadra cantonero 4 pulg , 1 a 23,$5.10, 24  a 47,$4.80, 48 o más,$4.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1768864333-111.jpg,80401,Escuadra de combinacion o universal , 1 a 5,$50.90, 6  a 11,$47.80, 12 o más,$45.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1694193636-127.jpg,ESQ2,Escuadra esquinera galvanizada 2 pulg , 1 a 23,$1.30, 24  a 47,$1.20, 48 o más,$1.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1694193873-99.jpg,ESQ3,Escuadra esquinera galvanizada 3 pulg , 1 a 23,$2.60, 24  a 47,$2.50, 48 o más,$2.40
Herramientas,https://www.herramientasyconexiones.com/productos/m/1694193944-9.jpg,ESQ4,Escuadra esquinera galvanizada 4 pulg , 1 a 23,$4.60, 24  a 47,$4.50, 48 o más,$4.30
Herramientas,https://www.herramientasyconexiones.com/productos/m/1694194094-55.jpg,ESQ7,Escuadra esquinera galvanizada 7 pulg , 1 a 23,$9.80, 24  a 47,$9.40, 48 o más,$9.00
Herramientas,https://www.herramientasyconexiones.com/productos/m/1768864251-12.jpg,21302,Escuadra falsa , 1 a 5,$32.20, 6  a 11,$30.30, 12 o más,$28.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1733438691-127.jpg,33433,Esmeriladora 4 1 2 650w , 1 a 2,$422.10, 3  a 5,$396.90, 6 o más,$378.00
Herramientas,https://www.herramientasyconexiones.com/productos/m/1745866813-128.jpg,4382,Espatula acero con mango GRANDE ,1 ó más,$8.30,,,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1778541732-150.jpg,E4002,Espatula acero rigida madera 2 pulg , 1 a 5,$10.40, 6  a 11,$9.80, 12 o más,$9.30
Herramientas,https://www.herramientasyconexiones.com/productos/m/1778598957-135.jpg,E4003,Espatula acero rigida madera 3 pulg , 1 a 5,$11.40, 6  a 11,$10.70, 12 o más,$10.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1778598991-37.jpg,E4004,Espatula acero rigida madera 4 pulg , 1 a 5,$12.50, 6  a 11,$11.70, 12 o más,$11.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1778599026-41.jpg,E4005,Espatula acero rigida madera 5 pulg , 1 a 5,$13.50, 6  a 11,$12.70, 12 o más,$12.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1755794426-141.jpg,E142,Espatula de acero mango plastico 1 pulg LATINTUL , 1 a 11,$10.70, 12  a 23,$10.10, 24 o más,$9.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1583598902-11.jpg,4052,Espatula de acero mango plastico 2 pulg , 1 a 23,$8.80, 24  a mas,$8.40,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1583599014-31.jpg,4053,Espatula de acero mango plastico 3 pulg , 1 a 23,$10.70, 24  a mas,$9.60,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1583599090-31.jpg,4054,Espatula de acero mango plastico 4 pulg , 1 a 23,$11.50, 24  a mas,$10.30,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1666278639-129.jpg,4055,Espatula de acero mango plastico 5 pulg , 1 a 23,$12.50, 24 o más,$11.70,,
